TransactionId,CardId,Date,ValutaDate,Amount,Currency,OriginalAmount,OriginalCurrency,MerchantName,MerchantPlace,MerchantCountry,StateType,Details,Type,Exchange Rate
TRX2025010300000001,404703AB01CD1001,2025-01-03 11:32:00,2025-01-04 00:00:00,19.040,CHF,19.040,CHF,Hallenbad Oerlikon,Zurich,CHE,BOOKED,Hallenbad Oerlikon,merchant,1.000000
TRX2025010400000002,404703AB01CD1001,2025-01-04 06:00:00,2025-01-05 00:00:00,12.950,CHF,12.950,CHF,Spotify,,CHE,BOOKED,SPOTIFY AB,merchant,1.000000
TRX2025010700000003,404703AB01CD1001,2025-01-07 06:00:00,2025-01-08 00:00:00,19.900,CHF,19.900,CHF,Netflix,,CHE,BOOKED,NETFLIX.COM,merchant,1.000000
TRX2025010700000004,404703AB01CD1001,2025-01-07 10:25:00,2025-01-08 00:00:00,14.570,CHF,14.570,CHF,Doener Kebab Haus,Zurich,CHE,BOOKED,Doener Kebab Haus,merchant,1.000000
TRX2025010800000005,404703AB01CD1001,2025-01-08 15:33:00,2025-01-09 00:00:00,54.610,CHF,54.610,CHF,Aldi Suisse,Winterthur,CHE,BOOKED,Aldi Suisse,merchant,1.000000
TRX2025010900000006,404703AB01CD1001,2025-01-09 08:32:00,2025-01-10 00:00:00,80.530,CHF,80.530,CHF,Zalando,,CHE,BOOKED,Zalando,merchant,1.000000
TRX2025011100000007,404703AB01CD1001,2025-01-11 06:00:00,2025-01-12 00:00:00,4.900,CHF,4.900,CHF,Apple.com/Bill,,CHE,BOOKED,APPLE.COM/BILL,merchant,1.000000
TRX2025011100000008,404703AB01CD1001,2025-01-11 10:14:00,2025-01-12 00:00:00,23.750,CHF,23.750,CHF,Kletterhalle Gaswerk,Uster,CHE,BOOKED,Kletterhalle Gaswerk,merchant,1.000000
TRX2025011100000009,404703AB01CD1001,2025-01-11 14:20:00,2025-01-12 00:00:00,58.560,CHF,58.560,CHF,Coop,Zurich,CHE,BOOKED,Coop,merchant,1.000000
TRX2025011100000010,404703AB01CD1001,2025-01-11 19:14:00,2025-01-12 00:00:00,49.820,CHF,49.820,CHF,SBB CFF FFS,Zurich,CHE,BOOKED,SBB CFF FFS,merchant,1.000000
TRX2025012800000011,404703AB01CD1001,2025-01-28 20:34:00,2025-01-29 00:00:00,21.980,CHF,21.980,CHF,Volg,Uster,CHE,BOOKED,Volg,merchant,1.000000
TRX2025020300000012,404703AB01CD1001,2025-02-03 14:07:00,2025-02-04 00:00:00,19.620,CHF,19.620,CHF,Denner,Zurich,CHE,BOOKED,Denner,merchant,1.000000
TRX2025020400000013,404703AB01CD1001,2025-02-04 06:00:00,2025-02-05 00:00:00,12.950,CHF,12.950,CHF,Spotify,,CHE,BOOKED,SPOTIFY AB,merchant,1.000000
TRX2025020700000014,404703AB01CD1001,2025-02-07 06:00:00,2025-02-08 00:00:00,19.900,CHF,19.900,CHF,Netflix,,CHE,BOOKED,NETFLIX.COM,merchant,1.000000
TRX2025021000000015,404703AB01CD1001,2025-02-10 13:18:00,2025-02-11 00:00:00,37.470,CHF,37.470,CHF,Denner,Zurich,CHE,BOOKED,Denner,merchant,1.000000
TRX2025021100000016,404703AB01CD1001,2025-02-11 06:00:00,2025-02-12 00:00:00,4.900,CHF,4.900,CHF,Apple.com/Bill,,CHE,BOOKED,APPLE.COM/BILL,merchant,1.000000
TRX2025021500000017,404703AB01CD1001,2025-02-15 18:06:00,2025-02-16 00:00:00,200.670,CHF,200.670,CHF,Optiker Muller,Zurich,CHE,BOOKED,Optiker Muller,merchant,1.000000
TRX2025021600000018,404703AB01CD1001,2025-02-16 20:49:00,2025-02-17 00:00:00,17.710,CHF,17.710,CHF,Denner,Zurich,CHE,BOOKED,Denner,merchant,1.000000
TRX2025022000000019,404703AB01CD1001,2025-02-20 10:13:00,2025-02-21 00:00:00,29.560,CHF,29.560,CHF,Manor,Zurich,CHE,BOOKED,Manor,merchant,1.000000
TRX2025022100000020,404703AB01CD1001,2025-02-21 08:37:00,2025-02-22 00:00:00,89.000,CHF,89.000,CHF,Fitnesspark Zurich,Zurich,CHE,BOOKED,Fitnesspark Zurich,merchant,1.000000
TRX2025022100000021,404703AB01CD1001,2025-02-21 12:44:00,2025-02-22 00:00:00,90.940,CHF,90.940,CHF,Coop,Zurich,CHE,BOOKED,Coop,merchant,1.000000
TRX2025022400000022,404703AB01CD1001,2025-02-24 15:00:00,2025-02-25 00:00:00,289.000,CHF,289.000,CHF,IKEA,Dietlikon,CHE,BOOKED,IKEA DIETLIKON,merchant,1.000000
TRX2025022600000023,404703AB01CD1001,2025-02-26 12:35:00,2025-02-27 00:00:00,38.190,CHF,38.190,CHF,Lidl Schweiz,Winterthur,CHE,BOOKED,Lidl Schweiz,merchant,1.000000
TRX2025030300000024,404703AB01CD1001,2025-03-03 09:21:00,2025-03-04 00:00:00,47.310,CHF,47.310,CHF,Coiffeur Salon Neun,Zurich,CHE,BOOKED,Coiffeur Salon Neun,merchant,1.000000
TRX2025030400000025,404703AB01CD1001,2025-03-04 06:00:00,2025-03-05 00:00:00,12.950,CHF,12.950,CHF,Spotify,,CHE,BOOKED,SPOTIFY AB,merchant,1.000000
TRX2025030500000026,404703AB01CD1001,2025-03-05 11:32:00,2025-03-06 00:00:00,64.020,CHF,64.020,CHF,Aldi Suisse,Winterthur,CHE,BOOKED,Aldi Suisse,merchant,1.000000
TRX2025030500000027,404703AB01CD1001,2025-03-05 19:48:00,2025-03-06 00:00:00,188.730,CHF,188.730,CHF,Galaxus,Zurich,CHE,BOOKED,Galaxus,merchant,1.000000
TRX2025030600000028,404703AB01CD1001,2025-03-06 09:46:00,2025-03-07 00:00:00,20.540,CHF,20.540,CHF,Doener Kebab Haus,Zurich,CHE,BOOKED,Doener Kebab Haus,merchant,1.000000
TRX2025030700000029,404703AB01CD1001,2025-03-07 06:00:00,2025-03-08 00:00:00,19.900,CHF,19.900,CHF,Netflix,,CHE,BOOKED,NETFLIX.COM,merchant,1.000000
TRX2025030900000030,404703AB01CD1001,2025-03-09 10:35:00,2025-03-10 00:00:00,21.350,CHF,21.350,CHF,Volg,Uster,CHE,BOOKED,Volg,merchant,1.000000
TRX2025031100000031,404703AB01CD1001,2025-03-11 06:00:00,2025-03-12 00:00:00,4.900,CHF,4.900,CHF,Apple.com/Bill,,CHE,BOOKED,APPLE.COM/BILL,merchant,1.000000
TRX2025031400000032,404703AB01CD1001,2025-03-14 19:20:00,2025-03-15 00:00:00,186.000,CHF,186.000,CHF,Restaurant Alpenblick,Grindelwald,CHE,BOOKED,RESTAURANT ALPENBLICK,merchant,1.000000
TRX2025031500000033,404703AB01CD1001,2025-03-15 16:33:00,2025-03-16 00:00:00,27.460,CHF,27.460,CHF,Doener Kebab Haus,Zurich,CHE,BOOKED,Doener Kebab Haus,merchant,1.000000
TRX2025040100000034,404703AB01CD1001,2025-04-01 09:58:00,2025-04-02 00:00:00,118.600,CHF,118.600,CHF,Zalando,,CHE,BOOKED,Zalando,merchant,1.000000
TRX2025040300000035,404703AB01CD1001,2025-04-03 13:51:00,2025-04-04 00:00:00,36.500,CHF,36.500,CHF,Aldi Suisse,Winterthur,CHE,BOOKED,Aldi Suisse,merchant,1.000000
TRX2025040400000036,404703AB01CD1001,2025-04-04 06:00:00,2025-04-05 00:00:00,12.950,CHF,12.950,CHF,Spotify,,CHE,BOOKED,SPOTIFY AB,merchant,1.000000
TRX2025040700000037,404703AB01CD1001,2025-04-07 06:00:00,2025-04-08 00:00:00,19.900,CHF,19.900,CHF,Netflix,,CHE,BOOKED,NETFLIX.COM,merchant,1.000000
TRX2025040700000038,404703AB01CD1001,2025-04-07 10:01:00,2025-04-08 00:00:00,58.450,CHF,58.450,CHF,Coiffeur Salon Neun,Zurich,CHE,BOOKED,Coiffeur Salon Neun,merchant,1.000000
TRX2025041000000039,404703AB01CD1001,2025-04-10 10:18:00,2025-04-11 00:00:00,43.230,CHF,43.230,CHF,Pizzeria Napoli,Zurich,CHE,BOOKED,Pizzeria Napoli,merchant,1.000000
TRX2025041100000040,404703AB01CD1001,2025-04-11 06:00:00,2025-04-12 00:00:00,4.900,CHF,4.900,CHF,Apple.com/Bill,,CHE,BOOKED,APPLE.COM/BILL,merchant,1.000000
TRX2025041900000041,404703AB01CD1001,2025-04-19 16:23:00,2025-04-20 00:00:00,100.150,CHF,100.150,CHF,Restaurant Krone,Zurich,CHE,BOOKED,Restaurant Krone,merchant,1.000000
TRX2025042100000042,404703AB01CD1001,2025-04-21 16:58:00,2025-04-22 00:00:00,36.870,CHF,36.870,CHF,Pizzeria Napoli,Zurich,CHE,BOOKED,Pizzeria Napoli,merchant,1.000000
TRX2025042600000043,404703AB01CD1001,2025-04-26 09:05:00,2025-04-27 00:00:00,163.380,CHF,163.380,CHF,Galaxus,Zurich,CHE,BOOKED,Galaxus,merchant,1.000000
TRX2025042800000044,404703AB01CD1001,2025-04-28 09:42:00,2025-04-29 00:00:00,18.780,CHF,18.780,CHF,Hallenbad Oerlikon,Zurich,CHE,BOOKED,Hallenbad Oerlikon,merchant,1.000000
TRX2025050200000045,404703AB01CD1001,2025-05-02 15:37:00,2025-05-03 00:00:00,18.490,CHF,18.490,CHF,Uber Trip,Zurich,CHE,BOOKED,Uber Trip,merchant,1.000000
TRX2025050400000046,404703AB01CD1001,2025-05-04 06:00:00,2025-05-05 00:00:00,12.950,CHF,12.950,CHF,Spotify,,CHE,BOOKED,SPOTIFY AB,merchant,1.000000
TRX2025050600000047,404703AB01CD1001,2025-05-06 11:00:00,2025-05-07 00:00:00,120.000,CHF,120.000,CHF,Ordnungsbusse Stadtpolizei,Zurich,CHE,BOOKED,ORDNUNGSBUSSE STAPO,merchant,1.000000
TRX2025050700000048,404703AB01CD1001,2025-05-07 06:00:00,2025-05-08 00:00:00,19.900,CHF,19.900,CHF,Netflix,,CHE,BOOKED,NETFLIX.COM,merchant,1.000000
TRX2025050800000049,404703AB01CD1001,2025-05-08 09:22:00,2025-05-09 00:00:00,44.570,CHF,44.570,CHF,Aldi Suisse,Winterthur,CHE,BOOKED,Aldi Suisse,merchant,1.000000
TRX2025051100000050,404703AB01CD1001,2025-05-11 06:00:00,2025-05-12 00:00:00,4.900,CHF,4.900,CHF,Apple.com/Bill,,CHE,BOOKED,APPLE.COM/BILL,merchant,1.000000
TRX2025051400000051,404703AB01CD1001,2025-05-14 08:20:00,2025-05-15 00:00:00,27.540,CHF,27.540,CHF,dm-drogerie markt,Zurich,CHE,BOOKED,dm-drogerie markt,merchant,1.000000
TRX2025051700000052,404703AB01CD1001,2025-05-17 14:32:00,2025-05-18 00:00:00,64.500,CHF,64.500,CHF,Blumen Weber,Uster,CHE,BOOKED,BLUMEN WEBER USTER,merchant,1.000000
TRX2025051700000053,404703AB01CD1001,2025-05-17 17:23:00,2025-05-18 00:00:00,13.690,CHF,13.690,CHF,Backerei Hofer Bakery,Uster,CHE,BOOKED,Backerei Hofer Bakery,merchant,1.000000
TRX2025051800000054,404703AB01CD1001,2025-05-18 12:19:00,2025-05-19 00:00:00,22.400,CHF,22.400,CHF,Hallenbad Oerlikon,Zurich,CHE,BOOKED,Hallenbad Oerlikon,merchant,1.000000
TRX2025052800000055,404703AB01CD1001,2025-05-28 14:21:00,2025-05-29 00:00:00,21.870,CHF,21.870,CHF,Cafe Central,Zurich,CHE,BOOKED,Cafe Central,merchant,1.000000
TRX2025060200000056,404703AB01CD1001,2025-06-02 08:17:00,2025-06-03 00:00:00,41.040,CHF,41.040,CHF,Stadt Apotheke,Zurich,CHE,BOOKED,Stadt Apotheke,merchant,1.000000
TRX2025060400000057,404703AB01CD1001,2025-06-04 06:00:00,2025-06-05 00:00:00,12.950,CHF,12.950,CHF,Spotify,,CHE,BOOKED,SPOTIFY AB,merchant,1.000000
