TransactionId,CardId,Date,ValutaDate,Amount,Currency,OriginalAmount,OriginalCurrency,MerchantName,MerchantPlace,MerchantCountry,StateType,Details,Type,Exchange Rate
TRX2025010900000001,404703AB01CD2002,2025-01-09 15:31:00,2025-01-10 00:00:00,55.930,CHF,55.930,CHF,Lidl Schweiz,Winterthur,CHE,BOOKED,Lidl Schweiz,merchant,1.000000
TRX2025011300000002,404703AB01CD2002,2025-01-13 17:30:00,2025-01-14 00:00:00,72.250,CHF,72.250,CHF,Socar Tankstelle,Uster,CHE,BOOKED,SOCAR ENERGY SWITZERLAND,merchant,1.000000
TRX2025011600000003,404703AB01CD2002,2025-01-16 11:47:00,2025-01-17 00:00:00,61.030,CHF,61.030,CHF,Pizzeria Napoli,Zurich,CHE,BOOKED,Pizzeria Napoli,merchant,1.000000
TRX2025011600000004,404703AB01CD2002,2025-01-16 17:01:00,2025-01-17 00:00:00,57.770,CHF,57.770,CHF,Restaurant Krone,Zurich,CHE,BOOKED,Restaurant Krone,merchant,1.000000
TRX2025011700000005,404703AB01CD2002,2025-01-17 18:18:00,2025-01-18 00:00:00,18.560,CHF,18.560,CHF,Volg,Uster,CHE,BOOKED,Volg,merchant,1.000000
TRX2025011800000006,404703AB01CD2002,2025-01-18 14:53:00,2025-01-19 00:00:00,296.040,CHF,296.040,CHF,Galaxus,Zurich,CHE,BOOKED,Galaxus,merchant,1.000000
TRX2025011900000007,404703AB01CD2002,2025-01-19 06:00:00,2025-01-20 00:00:00,22.500,CHF,22.500,CHF,OpenAI,,CHE,BOOKED,OPENAI *CHATGPT SUBSCR,merchant,1.000000
TRX2025012100000008,404703AB01CD2002,2025-01-21 14:03:00,2025-01-22 00:00:00,32.510,CHF,32.510,CHF,Volg,Uster,CHE,BOOKED,Volg,merchant,1.000000
TRX2025020300000009,404703AB01CD2002,2025-02-03 12:19:00,2025-02-04 00:00:00,60.330,CHF,60.330,CHF,Stadt Apotheke,Zurich,CHE,BOOKED,Stadt Apotheke,merchant,1.000000
TRX2025020500000010,404703AB01CD2002,2025-02-05 15:46:00,2025-02-06 00:00:00,18.140,CHF,18.140,CHF,Parkhaus Hohe Promenade,Zurich,CHE,BOOKED,Parkhaus Hohe Promenade,merchant,1.000000
TRX2025020600000011,404703AB01CD2002,2025-02-06 16:10:00,2025-02-07 00:00:00,103.620,CHF,103.620,CHF,Restaurant Krone,Zurich,CHE,BOOKED,Restaurant Krone,merchant,1.000000
